station,country,HDI,elev,TPI,access_log10,Hansen_recentloss,bio01,PA,PA_size_km2,dist_to_PA,utm_east,utm_north,asymptPD,SR.mean,maxFRic,rh_95_a0.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
L6780719,Malaysia,0.81,9,0.0234375,4.424471805,0,27.44061661,0,0.115798131,5.140476011,1320659.259,689565.4525,4.139548982,124.7395833,236.7035137,2.472017575,0.113022654,1.369898984,0.048970188,2.458769411
L1985086,Malaysia,0.81,1181,-8.765625,2.011402728,0,24.84350395,1,280.434511,NA,3355106.776,545064.7859,5.388016965,138.1468531,266.3212001,46.83087401,5.326532262,3.27664367,0.920233993,6.152859055
L8075402,Malaysia,0.81,55,-2.015625,3.990496677,0,26.2592411,0,418.946956,5.696663249,1691641.972,258692.1359,3.983772479,172.2768116,407.2662958,33.9728599,4.620001677,3.228751034,0.842988032,5.633575651
L8219390,Malaysia,0.81,201,0.28125,3.278471249,0,26.06906128,0,0.607753961,8.514240744,3147768.143,726660.6865,2.045847949,55.45454545,105.1529895,32.29644011,4.978096334,3.190408713,0.845622558,5.455913326
L8694514,Malaysia,0.81,287,7.03125,4.231007297,0,27.07838821,1,9.428878898,NA,1529003.965,278864.1728,2.271346663,86.66666667,290.3497633,11.71904943,2.672435375,2.550185431,0.545228241,4.112859076
L8862365,Malaysia,0.81,61,-0.21875,4.379747825,0,26.84200859,0,1.323052081,0.80728989,1472262.722,352869.9843,1.826157036,43.69230769,79.85822891,7.684834593,0.962271626,2.036386673,0.296373188,3.444234951
L4728574,Malaysia,0.81,29,-0.2890625,4.693445465,0,26.46264458,0,40.92922172,1.640694265,1361863.17,541421.4527,4.363981298,100.6,172.9160219,16.88590501,2.238515146,2.743966097,0.561437182,4.545001253
L9762232,Malaysia,0.81,42,-6.3125,NA,0,26.58137512,0,2.481081468,25.18361614,1308121.645,608863.6983,3.107677728,59.7,136.652841,10.22437744,1.614537032,2.439701008,0.43017261,3.906688537
L9969195,Malaysia,0.81,142,-3.5546875,3.61128204,0,26.09998322,0,119.0953865,0.108249047,1383991.828,682518.418,4.250504162,122.1871658,209.0673476,30.02628763,4.901734648,3.171928265,0.829166019,5.354350002
L10154568,Malaysia,0.81,63,0.7578125,4.40017632,0,27.03678703,0,2.481081468,4.070400569,1334187.365,603008.8797,3.283925492,82.77647059,192.9320224,15.32771926,2.704518171,2.675376231,0.652646707,4.396906277
L10409551,Malaysia,0.81,74,4.1875,4.477256724,0,26.84200859,0,0.146181612,4.290369464,1470978.55,344965.759,2.490086401,107.5464744,145.1510442,11.36071462,1.340941344,2.445097225,0.430733932,3.867589671
L10442595,Malaysia,0.81,77,-2.5,4.391803193,0,26.84200859,0,0.146181612,3.639077473,1471664.397,344443.3537,1.856681434,44.40909091,92.81019682,5.793001182,1.042038613,2.094375409,0.262662151,3.278474732
L10891941,Malaysia,0.81,1943,7.1953125,3.607127833,0,17.34393311,0,19.51528655,0.410370662,3179234.055,723727.1246,2.066174822,92.91666667,257.624093,26.1826325,3.677386969,3.099192136,0.790123509,5.053259895
L12279444,Malaysia,0.81,106,-0.171875,4.371582848,0,27.06264305,0,3.23521973,4.872848077,1462899.167,350819.3024,3.325295866,149.8823529,145.6748169,5.228532315,0.528016418,1.963243095,0.178240298,3.040548605
L12576055,Malaysia,0.81,70,-0.1875,4.255333573,0,26.98781967,0,3.922800213,2.94580407,1449506.447,378316.3952,3.533715108,132.7410714,195.2232407,11.81189934,2.713393362,2.519295457,0.6274386,4.034762308
L13034336,Malaysia,0.81,68,2.609375,4.434976893,0,26.66750336,0,3.23521973,3.588040977,1462191.336,357120.1434,2.396367935,75.83984375,141.0224741,10.56824055,1.153842632,2.38897205,0.379012957,3.776385509
L13222626,Malaysia,0.81,1,0.0234375,NA,0,NA,0,14.92831119,34.46860871,2880669.447,538452.0337,2.679992091,79.71875,185.8092454,4.492830847,0.518978761,1.721332769,0.148623488,2.56985434
L3856913,Singapore,0.94,1,-0.015625,3.861509442,0,26.8224659,0,30.63636865,7.807884768,1709239.746,142686.66,3.549297675,95.4495614,188.4635868,7.126728828,0.636472612,2.145729594,0.213199196,3.31262924
L3840250,Singapore,0.94,1,0.53125,4.04922961,0,26.93063164,0,30.63636865,0.607402255,1711595.76,153021.0656,2.934568001,53.19805195,192.3688783,19.43638005,3.043075804,2.82144663,0.664721473,4.642105641
L4578069,Singapore,0.94,1,-0.015625,3.861509442,0,26.8224659,0,30.63636865,7.948934321,1708982.502,142595.0476,3.433163895,147.0566038,154.3585589,8.744090033,0.836495204,2.25496474,0.277396873,3.557168571
L4708814,Singapore,0.94,1,2.5390625,4.084077665,0,26.93063164,1,30.63636865,NA,1710558.349,155866.9624,3.040040882,117.8181818,189.5944911,22.18124763,3.325876258,2.999682438,0.745250883,4.819338801
L2205140,Singapore,0.94,1,1.4921875,4.020358328,0,26.8224659,0,1.637407757,5.337050142,1705095.036,146191.5478,2.727834512,56.68181818,178.169557,9.788956529,0.966612337,2.436537028,0.328141605,3.562177898
L5822804,Singapore,0.94,3,-2.7265625,4.137598589,0,26.93063164,0,1.637407757,0.030171857,1705855.478,153248.534,2.467191657,121.7397959,263.9906556,17.96806649,2.986200789,2.802431096,0.665521776,4.583380836
L5912439,Singapore,0.94,1,-0.2890625,4.076198292,0,27.06403351,0,30.63636865,6.109921728,1713227.74,163926.7557,3.090512236,133.6315789,198.5151831,14.97076761,2.833242705,2.667198509,0.578781073,4.187922909
L5200470,Singapore,0.94,1,0.5234375,4.01156268,0,27.06403351,0,30.63636865,6.386504105,1717080.329,158903.4553,3.322379342,96.23701299,201.6069816,4.991507415,0.734925314,1.929393717,0.201884767,3.060448703
L5920972,Singapore,0.94,1,3.921875,4.053623409,0,26.8224659,0,30.63636865,6.621137943,1707702.162,144481.1104,3.017232276,106.1538462,211.9399912,14.62476324,1.276042595,2.735350212,0.41351985,4.058331531
L7510826,Singapore,0.94,1,0.640625,3.742059266,0,NA,0,30.63636865,13.13146029,1725883.101,148066.9218,3.340738193,114.0909091,206.4639175,4.815938392,0.525720355,1.927867163,0.162758749,2.701951164
