"station","awf_ptg","med_dist","taxon","PA_ours"
"L1366659",1232.91026295211,10,"bird",1
"L921142",113.346600183396,10,"bird",0
"L2463656",35.9802313971396,10,"bird",0
"L3599101",0,10,"bird",0
"L8699965",8.80209129932469,10,"bird",0
"L5086999",1552.6078106496,10,"bird",0
"L1867445",560.527826309307,10,"bird",0
"L971578",1651.4539629146,10,"bird",1
"L4554739",0,10,"bird",0
"L4992009",0,10,"bird",0
"L4414431",0,10,"bird",0
"L1026523",0,10,"bird",0
"L973108",0,10,"bird",0
"L5629062",421.586582127767,10,"bird",0
"L1105489",101.682077102413,10,"bird",0
"L1047403",252.501072145734,10,"bird",0
"L1660680",2839.98553046406,10,"bird",0
"L4535064",113.253509558125,10,"bird",0
"L1299252",114.501364301157,10,"bird",0
"L5401078",2.19702172484258,10,"bird",0
"L921146",114.416551483859,10,"bird",0
"L4840389",1416.57404205153,10,"bird",0
"L921133",218.184776554127,10,"bird",0
"L4229514",7466.23196627681,10,"bird",0
"L4431612",37.4692435960235,10,"bird",0
"L1085905",460.996126242088,10,"bird",0
"L4816655",1662.82723979836,10,"bird",0
"L4789502",8376.7655886631,10,"bird",0
"L1873843",348.979380044914,10,"bird",0
"L2567259",4471.35693411106,10,"bird",1
"L921130",225.566986234971,10,"bird",1
"L4581174",9922.15576935466,10,"bird",0
"L971585",1765.90415330487,10,"bird",1
"L5247932",0,10,"bird",0
"L9889836",0,10,"bird",0
